app,company,version,device,platform,researcher,time,runid,host,url,method,headers,body
kindleTest,Amazon,x,samsungGalaxys6,android,dkarandikar,1525342985931,vsebj,spectrum.s3.amazonaws.com,http%3A//52.216.17.184/kindle-wifi/wifistub-eink.html,GET,%7B%22Accept-Encoding%22%3A%20%22identity%2C%20gzip%22%2C%20%22Accept%22%3A%20%22%2A/%2A%22%2C%20%22User-Agent%22%3A%20%22Mozilla%20/5.0%20%28Linux%3B%20like%20iPhone%3B%20U%3B%20en-US%29%20AppleWebKit/528.5%2B%20%28KHTML%2C%20like%20Gecko%2C%20Safari/528.5%2B%29%20Version/4.0%22%2C%20%22Host%22%3A%20%22spectrum.s3.amazonaws.com%22%2C%20%22Pragma%22%3A%20%22no-cache%22%2C%20%22Cache-Control%22%3A%20%22no-cache%22%7D,
kindleTest,Amazon,x,samsungGalaxys6,android,dkarandikar,1525343713556,vsebj,spectrum.s3.amazonaws.com,http%3A//52.216.164.211/kindle-wifi/wifistub-eink.html,GET,%7B%22Accept-Encoding%22%3A%20%22identity%2C%20gzip%22%2C%20%22Accept%22%3A%20%22%2A/%2A%22%2C%20%22User-Agent%22%3A%20%22Mozilla%20/5.0%20%28Linux%3B%20like%20iPhone%3B%20U%3B%20en-US%29%20AppleWebKit/528.5%2B%20%28KHTML%2C%20like%20Gecko%2C%20Safari/528.5%2B%29%20Version/4.0%22%2C%20%22Host%22%3A%20%22spectrum.s3.amazonaws.com%22%2C%20%22Pragma%22%3A%20%22no-cache%22%2C%20%22Cache-Control%22%3A%20%22no-cache%22%7D,
